code,series,gender,woo_id,display_name,muadil_orijinal,scent_family,top_notes,heart_notes,base_notes,in_stock,web_url,image_url
K-149,gold,kadin,3991,"K-149 ""Pink Sugar"" Eau De Parfum For Women",Pink Sugar,fresh,,,,true,https://elegancevipperfume.com/urun/k-149-sugar-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2021/12/Elegance-vip-perfume-k-149-Parfum.png
K-147,gold,kadin,3989,"K-147""Bombshell"" Eau De Parfum For Women",Bombshell,fresh,,,,true,https://elegancevipperfume.com/urun/k-147bombshell-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2021/12/Elegance-vip-perfume-k-147-Parfum.png
K-118,gold,kadin,3987,"K-118 ""GoodGirl"" Eau De Parfum For Women",GoodGirl,fresh,,,,true,https://elegancevipperfume.com/urun/k-118-goodgirl-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2021/12/Elegance-vip-perfume-k-118-Parfum.png
K-042,gold,kadin,3982,K-042 Eau De Parfum For Women,,fresh,,,,true,https://elegancevipperfume.com/urun/k-042-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2021/11/ELEGANCE-GOLD-K-042.png
K-031,gold,kadin,3981,K-031 Eau De Parfum For Women,,fresh,,,,true,https://elegancevipperfume.com/urun/k-031-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2021/11/ELEGANCE-GOLD-K-031.png
K-004,gold,kadin,3979,K-004 Eau De Parfum For Women,,fresh,,,,true,https://elegancevipperfume.com/urun/k-004-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2021/11/ELEGANCE-GOLD-K-004.png
K-003,gold,kadin,3978,K-003 Eau De Parfum For Women,,fresh,,,,true,https://elegancevipperfume.com/urun/k-003-eau-de-parfum-for-women/,https://elegancevipperfume.com/wp-content/uploads/2021/11/ELEGANCE-GOLD-K-003.png
E-100,gold,erkek,3977,"E-100 "" Only The Brave "" Eau De Parfum For Men", Only The Brave ,fresh,,,,false,https://elegancevipperfume.com/urun/e-100-only-the-brave-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2021/12/Elegance-vip-Perfume-E-100-Parfum.png
E-097,gold,erkek,3976,One Million Edp 50 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/e-097-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2021/12/GOLD-ERKEK-TRENDYOL-1200-x-1200-piksel-1.png
U-080,gold,unisex,3975,U-080 Eau De Parfum (Unisex),,fresh,,,,true,https://elegancevipperfume.com/urun/u-080-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2021/12/Elegance-vip-perfume-unisex-080.png
E-037,gold,erkek,3874,"E-037 "" Invictus "" Eau De Parfum For Men", Invictus ,fresh,,,,true,https://elegancevipperfume.com/urun/e-037-invictus-eau-de-parfum-for-men/,https://elegancevipperfume.com/wp-content/uploads/2021/12/Elegance-vip-Perfume-E-037-Parfum.png
E-092,gold,unisex,3868,"E-092 "" Sexy Chocolate "" Eau De Parfum For Unisex", Sexy Chocolate ,fresh,,,,true,https://elegancevipperfume.com/urun/e-092-sexy-chocolate-eau-de-parfum-for-men-2/,https://elegancevipperfume.com/wp-content/uploads/2021/12/Elegance-vip-perfume-unisex-092.png
EL-001,elegancia,unisex,25465,Elegancia - Charm Serenity Edp 100 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/elegancia-charm-serenity-edp-100-ml/,https://elegancevipperfume.com/wp-content/uploads/2026/03/3-1.jpg
EL-002,elegancia,unisex,24721,Velvet Cardinal Extrait De Parfum - 100 ml | Dubai Esintili Niş Unisex Parfüm,,fresh,,,,false,https://elegancevipperfume.com/urun/velvet-cardinal-extrait-de-parfum/,https://elegancevipperfume.com/wp-content/uploads/2025/12/velvet-cardinal7.jpg
EL-003,elegancia,unisex,24094,Elegancia Sapphire Noir Extrait de Parfum,,fresh,,,,true,https://elegancevipperfume.com/urun/elegancia-sapphire-noir-extrait-de-parfum-100-ml/,https://elegancevipperfume.com/wp-content/uploads/2025/10/2-2.png
EL-004,elegancia,unisex,24093,Elegancia Reflection Extrait de Parfum,,fresh,,,,true,https://elegancevipperfume.com/urun/elegancia-reflection-extrait-de-parfum-100-ml/,https://elegancevipperfume.com/wp-content/uploads/2025/10/6-1.png
EL-005,elegancia,unisex,24074,Elegancia NARCOTIC Extrait de Parfum,,fresh,,,,true,https://elegancevipperfume.com/urun/elegancia-narcotic-extrait-de-parfum-100-ml/,https://elegancevipperfume.com/wp-content/uploads/2025/10/5-4.png
EL-006,elegancia,unisex,24073,Elegancia Majestic Oud Extrait de Parfum,,oriental,,,,true,https://elegancevipperfume.com/urun/elegancia-majestic-oud-extrait-de-parfum-100-ml/,https://elegancevipperfume.com/wp-content/uploads/2025/10/5-7.png
EL-007,elegancia,unisex,24064,Elegancia Majestic Aura Extrait de Parfum,,fresh,,,,true,https://elegancevipperfume.com/urun/elegancia-majestik-aura-extrait-de-parfum-100-ml/,https://elegancevipperfume.com/wp-content/uploads/2025/10/1-8.png
EL-008,elegancia,unisex,24055,Elegancia Anatolia Essence Extrait de Parfum,,fresh,,,,true,https://elegancevipperfume.com/urun/elegancia-anatolia-essence-extrait-de-parfum-100-ml/,https://elegancevipperfume.com/wp-content/uploads/2025/10/1-5.png
EL-009,elegancia,unisex,24046,Elegancia Amber Extrait de Parfum,,oriental,,,,true,https://elegancevipperfume.com/urun/elegancia-amber-extrait-de-parfum-100-ml/,https://elegancevipperfume.com/wp-content/uploads/2025/10/5-1.png
EL-010,elegancia,unisex,24037,Elegancia Silver Ambiance Extrait De Parfum - 100 ml,,fresh,,,,true,https://elegancevipperfume.com/urun/elegancia-silver-ambiance-extrait-de-parfum-100-ml-dubai-esintili-nis-unisex-parfum/,https://elegancevipperfume.com/wp-content/uploads/2025/10/1-6.png
